package_legacy_id,slug,name,status,seller_legacy_id,seller_name,seller_email,seller_phone,category_primary,min_price_rwf,max_price_rwf,price_points_rwf,cover_image
33,meet-the-majestic-mountain-silverback-gorillas-in-the-rwanda,Meet the majestic mountain silverback gorillas in the Rwanda.,active,43,WanderLux Safaris,info@wanderluxsafaris.com,+250733802140,Active & Adventure,3055000,3055000,3055000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1754995914/ETIKE/general/Copy_of_951A0271_2_n6hpon.jpg
34,one-day-safari-in-akagera-national-park,One day safari in Akagera National Park,active,43,WanderLux Safaris,info@wanderluxsafaris.com,+250733802140,Active & Adventure,585000,730000,585000;730000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1754996287/ETIKE/general/Copy_of_951A0271_1_akgc7l.jpg
35,3-day-gorilla-trekking-luxury-safari,3 Day Gorilla trekking Luxury Safari,active,43,WanderLux Safaris,info@wanderluxsafaris.com,+250733802140,Active & Adventure,4615000,12965000,4615000;5410000;12965000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1754998642/ETIKE/general/Copy_of_valentinpacaut_theexplorers_Rwanda_20240912-47_4_mbapnx.jpg
36,two-day-explore-the-big-five-safari-in-akagera-national-park,Two â€“ day Explore the BIG FIVE safari in Akagera National  park.,active,43,WanderLux Safaris,info@wanderluxsafaris.com,+250733802140,Active & Adventure,1030000,1350000,1030000;1115000;1300000;1350000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1754999120/ETIKE/general/Copy_of_valentinpacaut_theexplorers_Rwanda_20240914-13_2_1_ajlcfp.jpg
37,two-day-gorilla-trekking-in-rwanda,Two â€“ day Gorilla trekking in Rwanda,active,1,,,,,3890000,8410000,3890000;4410000;8410000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1754999772/ETIKE/general/Copy_of_951A0294_1_sxmp7g.jpg
38,history-and-culture,History and Culture,active,39,Judith Safaris Ltd,info@judithsafaris.net,+250788802680,Community & Cultural,315000,575000,315000;380000;575000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1755006794/ETIKE/general/Copy_of_197A5881_1_bqugt9.jpg
39,1-day-experience-at-kibuye-on-lake-kivu,1 DAY EXPERIENCE AT KIBUYE ON LAKE KIVU,active,39,Judith Safaris Ltd,info@judithsafaris.net,+250788802680,Community & Cultural,240000,665000,240000;265000;310000;400000;665000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1755006994/ETIKE/general/Bisoke-Volcano-Rwanda-1-of-1-2_1_1_fpp4y4.jpg
40,two-day-nature-and-wildlife-adventure,Two-day nature and wildlife adventure,active,39,Judith Safaris Ltd,info@judithsafaris.net,+250788802680,Active & Adventure,3870000,15600000,3870000;6805000;9735000;12670000;15600000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1755007899/ETIKE/general/Copy_of_Copy_of_3_1_us0clv.jpg
42,2-day-nights-akagera-explore-the-wild-in-luxury-1,2-Day Nights Akagera : Explore the wild in luxury,active,44,Songa Africa the Tourism Company Ltd,info@songaafrica.com,+250781819316,Community & Cultural,1545000,2110000,1545000;2110000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1755011358/ETIKE/general/Copy_of_valentinpacaut_theexplorers_Rwanda_20240920-23_1_lrpah3.jpg
43,3-day-nyungwe-forest-escape-luxury-amidst-the-wilderness-1,3-Day Nyungwe Forest Escape: Luxury Amidst the Wilderness,active,44,Songa Africa the Tourism Company Ltd,info@songaafrica.com,+250781819316,Active & Adventure,1900000,1900000,1900000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1755011845/ETIKE/general/One-and-Only-Nyungwe-House-822x546_1_u5kf0n.jpg
44,akagera-escapade-a-three-day-luxury-safari-spectacle,Akagera Escapade: A Three-Day Luxury Safari Spectacle,active,44,Songa Africa the Tourism Company Ltd,info@songaafrica.com,+250781819316,Eco-Tourism,5350000,6290000,5350000;5585000;6290000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1755012931/ETIKE/general/Copy_of_Gael_RVW_-_24_-_137637_4_uhr0pa.jpg
45,1-day-bucket-list-gorilla-trek-tour-volcanoes-national-park,1 Day Bucket List Gorilla Trek Tour  Volcanoes National Park,active,44,Songa Africa the Tourism Company Ltd,info@songaafrica.com,+250781819316,Eco-Tourism,2480000,3150000,2480000;2500000;2530000;2560000;2935000;3150000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1755013708/ETIKE/general/Copy_of_951A0481_1_1_mbf3yf.jpg
46,2-day-volcanoes-ultimate-mountain-gorilla-trek-tour,2-Day Volcanoes Ultimate Mountain Gorilla Trek Tour,active,1,,,,Eco-Tourism,5020000,5705000,5020000;5200000;5705000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1755018739/ETIKE/general/Copy_of_951A0505_1_hmgqgs.jpg
47,2-day-volcanoes-ultimate-primates-mountains-tour,2 Day - Volcanoes Ultimate Primates & Mountains  Tour,active,44,Songa Africa the Tourism Company Ltd,info@songaafrica.com,+250781819316,Eco-Tourism,5410000,6095000,5410000;5590000;6095000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1755019112/ETIKE/general/Copy_of_49454980097_73acb19c4b_o_1_1_kzcjda.jpg
48,one-day-explore-the-beauty-of-kigali-city,ONE DAY: EXPLORE THE BEAUTY OF KIGALI CITY,active,43,WanderLux Safaris,info@wanderluxsafaris.com,+250733802140,Community & Cultural,380000,380000,380000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1755019674/ETIKE/general/Copy_of_197A5881_2_1_c7srze.jpg
49,meet-the-majestic-mountain-silverback-gorillas-in-the-rwanda-1,Meet the majestic mountain silverback gorillas in the Rwanda.,active,43,WanderLux Safaris,info@wanderluxsafaris.com,+250733802140,Community & Cultural,940000,3325000,940000;1950000;3325000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1755020534/ETIKE/general/Copy_of_951A0286_1_gsiucm.jpg
50,one-day-safari-in-akagera-national-park-1,One day safari in Akagera National Park,active,43,WanderLux Safaris,info@wanderluxsafaris.com,+250733802140,Active & Adventure,820000,3200000,820000;3200000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1755020763/ETIKE/general/Copy_of_834A9876_1_2_iqda1c.jpg
51,three-day-explore-the-rainy-forest-excursion,Three â€“ day Explore the Rainy Forest Excursion,active,43,WanderLux Safaris,info@wanderluxsafaris.com,+250733802140,Eco-Tourism,7475000,10985000,7475000;10985000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1755021417/ETIKE/general/Copy_of_valentinpacaut_theexplorers_Rwanda_20240920-23_2_1_emqofg.jpg
52,3-day-gorilla-trekking-luxury-safari-1,3 Day Gorilla trekking Luxury Safari,active,43,WanderLux Safaris,info@wanderluxsafaris.com,+250733802140,Eco-Tourism,2705000,12125000,2705000;12125000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1755022035/ETIKE/general/Copy_of_951A0315_1_bjgzu8.jpg
53,two-day-explore-the-big-five-safari-in-akagera-national-park-1,Two â€“ day Explore the BIG FIVE safari in Akagera National park.,active,43,WanderLux Safaris,info@wanderluxsafaris.com,+250733802140,Active & Adventure,1755000,1755000,1755000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1755022436/ETIKE/general/Copy_of_Gael_RVW_-_24_-_137637_4_qaqj6t.jpg
54,two-day-gorilla-trekking-in-rwanda-1,Two â€“ day Gorilla trekking in Rwanda,active,43,WanderLux Safaris,info@wanderluxsafaris.com,+250733802140,Eco-Tourism,1885000,1950000,1885000;1950000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1755022703/ETIKE/general/Copy_of_951A0271_2_1_fihjjs.jpg
55,discover-rwanda-2-nights-luxury-safari,Discover Rwanda - 2 Nights Luxury Safari,active,34,Kingfisher Journeys Ltd,info@kingfisherjourneys.com,+250788318759,Community & Cultural,390000,3250000,390000;3250000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1755026872/ETIKE/general/Copy_of_5P7A2463_1_j1bazz.jpg
56,one-day-akagera-wildlife-safari,One day Akagera Wildlife Safari,active,34,Kingfisher Journeys Ltd,info@kingfisherjourneys.com,+250788318759,Active & Adventure,275000,885000,275000;410000;885000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1755080544/ETIKE/general/Capture_1_ntgkpm.png
57,2-days-akagera-wildlife-safari,2 Days Akagera Wildlife Safari,active,34,Kingfisher Journeys Ltd,info@kingfisherjourneys.com,+250788318759,Active & Adventure,780000,2080000,780000;1075000;2080000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1755081074/ETIKE/general/Capture_2_2_nfbgy0.png
58,3-days-nyungwe-national-park-expedition,3  Days Nyungwe National Park Expedition,active,34,Kingfisher Journeys Ltd,info@kingfisherjourneys.com,+250788318759,Eco-Tourism,1515000,3445000,1515000;1945000;3445000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1755082170/ETIKE/general/Capture_3_1_psa79l.png
59,3-days-lake-kivu-kayaking-excursion-karongi,3  Days Lake Kivu Kayaking Excursion - Karongi,active,34,Kingfisher Journeys Ltd,info@kingfisherjourneys.com,+250788318759,Active & Adventure,965000,2680000,965000;1355000;2680000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1755082672/ETIKE/general/Copy_of_5P7A2520_2_ehrhim.jpg
60,1-day-kigali-local-experience-fashion-tour,1 Day - Kigali Local Experience & Fashion Tour,active,34,Kingfisher Journeys Ltd,info@kingfisherjourneys.com,+250788318759,Community & Cultural,125000,550000,125000;215000;550000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1755084244/ETIKE/general/Capture_4_1_q9lqxs.png
61,1-day-community-experience-spend-a-day-in-life-of-local-artisans,1 Day Community Experience - Spend a Day in life of Local artisans,active,34,Kingfisher Journeys Ltd,info@kingfisherjourneys.com,+250788318759,Community & Cultural,195000,645000,195000;290000;645000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1755084663/ETIKE/general/Copy_of_197A5881_3_1_ncym53.jpg
62,1-day-gorilla-trekking-expedition,1 Day Gorilla Trekking Expedition,active,34,Kingfisher Journeys Ltd,info@kingfisherjourneys.com,+250788318759,Active & Adventure,2110000,2720000,2110000;2240000;2720000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1755085495/ETIKE/general/Capture_5_1_tzlbn4.png
63,1-day-kigali-adventure-excursion,1 Day Kigali Adventure Excursion,active,34,Kingfisher Journeys Ltd,info@kingfisherjourneys.com,+250788318759,Community & Cultural,165000,640000,165000;410000;640000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1755086119/ETIKE/general/Capture_6_2_ffeouv.png
64,1-day-mt-bisoke-hike-in-volcanoes-national-park,1 Day Mt Bisoke Hike in Volcanoes National Park,active,34,Kingfisher Journeys Ltd,info@kingfisherjourneys.com,+250788318759,Eco-Tourism,255000,855000,255000;385000;855000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1755090571/ETIKE/general/Capture_7_2_ewfrqm.png
65,1-day-rwanda-countryside-immersion-canoeing-and-guided-walks-in-musanze,1 Day Rwanda Countryside Immersion - Canoeing and Guided walks in Musanze,active,34,Kingfisher Journeys Ltd,info@kingfisherjourneys.com,+250788318759,Active & Adventure,255000,645000,255000;295000;645000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1755095966/ETIKE/general/Capture_8_1_lzuu8c.png
67,3-days-volcanoes-and-lake-kivu-adventures,3 Days Volcanoes and Lake Kivu Adventures,active,34,Kingfisher Journeys Ltd,info@kingfisherjourneys.com,+250788318759,Active & Adventure,3300000,5230000,3300000;3740000;5230000,https://res.cloudinary.com/dhwqnur8s/image/upload/v1755096810/ETIKE/general/bisoke_1_i2qz58.jpg
